hour,platform,theme,avg_query_share_in_platform_day_hour
10,desktop,"Покупки, стиль и бренды",0.002261904761904762
11,desktop,"Покупки, стиль и бренды",0.002442857142857143
12,desktop,"Покупки, стиль и бренды",0.003171428571428571
13,desktop,"Покупки, стиль и бренды",0.0030761904761904763
14,desktop,"Покупки, стиль и бренды",0.003255
15,desktop,"Покупки, стиль и бренды",0.002676190476190476
16,desktop,"Покупки, стиль и бренды",0.0026333333333333334
17,desktop,"Покупки, стиль и бренды",0.002442857142857143
18,desktop,"Покупки, стиль и бренды",0.0020428571428571427
19,desktop,"Покупки, стиль и бренды",0.002495
20,desktop,"Покупки, стиль и бренды",0.0023095238095238095
21,desktop,"Покупки, стиль и бренды",0.0027952380952380954
22,desktop,"Покупки, стиль и бренды",0.001738095238095238
23,desktop,"Покупки, стиль и бренды",0.0014714285714285714
0,touch,"Покупки, стиль и бренды",0.0017857142857142857
1,touch,"Покупки, стиль и бренды",0.0010285714285714286
2,touch,"Покупки, стиль и бренды",0.0010380952380952381
3,touch,"Покупки, стиль и бренды",0.0007904761904761905
4,touch,"Покупки, стиль и бренды",0.0009619047619047619
5,touch,"Покупки, стиль и бренды",0.0013238095238095238
6,touch,"Покупки, стиль и бренды",0.0018238095238095238
7,touch,"Покупки, стиль и бренды",0.0023666666666666667
8,touch,"Покупки, стиль и бренды",0.0036
9,touch,"Покупки, стиль и бренды",0.003971428571428572
10,touch,"Покупки, стиль и бренды",0.003904761904761905
11,touch,"Покупки, стиль и бренды",0.003585714285714286
12,touch,"Покупки, стиль и бренды",0.003771428571428572
13,touch,"Покупки, стиль и бренды",0.003642857142857143
14,touch,"Покупки, стиль и бренды",0.003966666666666667
15,touch,"Покупки, стиль и бренды",0.00399047619047619
16,touch,"Покупки, стиль и бренды",0.004066666666666667
17,touch,"Покупки, стиль и бренды",0.004085714285714285
18,touch,"Покупки, стиль и бренды",0.0038333333333333336
19,touch,"Покупки, стиль и бренды",0.003642857142857143
20,touch,"Покупки, стиль и бренды",0.005
21,touch,"Покупки, стиль и бренды",0.00520952380952381
22,touch,"Покупки, стиль и бренды",0.004866666666666667
23,touch,"Покупки, стиль и бренды",0.003280952380952381
0,desktop,Сервисы,0.00074
1,desktop,Сервисы,0.0007263157894736842
2,desktop,Сервисы,0.0005588235294117647
3,desktop,Сервисы,0.0005
4,desktop,Сервисы,0.0005142857142857143
5,desktop,Сервисы,0.0006875
6,desktop,Сервисы,0.0011238095238095239
7,desktop,Сервисы,0.001657142857142857
8,desktop,Сервисы,0.0018333333333333333
9,desktop,Сервисы,0.0023285714285714285
10,desktop,Сервисы,0.0026904761904761906
11,desktop,Сервисы,0.0029333333333333334
12,desktop,Сервисы,0.0030857142857142854
13,desktop,Сервисы,0.0032190476190476188
14,desktop,Сервисы,0.0033809523809523808
15,desktop,Сервисы,0.0033
16,desktop,Сервисы,0.0035095238095238096
17,desktop,Сервисы,0.0027095238095238097
18,desktop,Сервисы,0.0031095238095238094
19,desktop,Сервисы,0.0030476190476190477
20,desktop,Сервисы,0.0031285714285714285
21,desktop,Сервисы,0.0028
22,desktop,Сервисы,0.0020523809523809522
23,desktop,Сервисы,0.0014761904761904762
0,touch,Сервисы,0.000575
1,touch,Сервисы,0.00038
2,touch,Сервисы,0.00030588235294117644
3,touch,Сервисы,0.00021176470588235292
4,touch,Сервисы,0.0002866666666666667
5,touch,Сервисы,0.0003263157894736842
6,touch,Сервисы,0.00034285714285714285
7,touch,Сервисы,0.0005
8,touch,Сервисы,0.0008238095238095238
9,touch,Сервисы,0.0009190476190476191
10,touch,Сервисы,0.0012619047619047618
11,touch,Сервисы,0.0009904761904761905
12,touch,Сервисы,0.0010523809523809522
13,touch,Сервисы,0.0011285714285714284
14,touch,Сервисы,0.0012333333333333332
15,touch,Сервисы,0.0011952380952380953
16,touch,Сервисы,0.001257142857142857
17,touch,Сервисы,0.0011380952380952382
18,touch,Сервисы,0.0010476190476190477
19,touch,Сервисы,0.0013095238095238095
20,touch,Сервисы,0.0013952380952380952
21,touch,Сервисы,0.0014285714285714286
22,touch,Сервисы,0.0011285714285714284
23,touch,Сервисы,0.0008666666666666667
0,desktop,Справка и Образование,0.0044571428571428574
